"word","Freq","name"
"Tropical and subtropical coniferous forests",1,"TABANAN"
"Trunk",1,"TABANAN"
"Turban",1,"TABANAN"
"Turquoise",1,"TABANAN"
"Umbrella",1,"TABANAN"
"Undergarment",1,"TABANAN"
"Urban area",1,"TABANAN"
"Vascular plant",1,"TABANAN"
"Vespa",1,"TABANAN"
"Visual arts",1,"TABANAN"
"Water feature",1,"TABANAN"
"Watercolor paint",1,"TABANAN"
"Watercourse",1,"TABANAN"
"White",1,"TABANAN"
"Wildflower",1,"TABANAN"
"Wine",1,"TABANAN"
"Wire",1,"TABANAN"
"Yard",1,"TABANAN"
"Adventure",2,"TABANAN"
"Advertising",2,"TABANAN"
"Arch",2,"TABANAN"
"Astronomical object",2,"TABANAN"
"Backlighting",2,"TABANAN"
"Bank",2,"TABANAN"
"Bedrock",2,"TABANAN"
"Bird",2,"TABANAN"
"Botanical garden",2,"TABANAN"
"Cat",2,"TABANAN"
"Ceiling",2,"TABANAN"
"Costume",2,"TABANAN"
"Cuisine",2,"TABANAN"
"Darkness",2,"TABANAN"
"Daytime",2,"TABANAN"
"Dog breed",2,"TABANAN"
"Duck",2,"TABANAN"
"Fashion accessory",2,"TABANAN"
"Felidae",2,"TABANAN"
"Flowering plant",2,"TABANAN"
"Font",2,"TABANAN"
"Fortification",2,"TABANAN"
"frangipani",2,"TABANAN"
"Freshwater marsh",2,"TABANAN"
"Garden",2,"TABANAN"
"Geology",2,"TABANAN"
"Iron",2,"TABANAN"
"Landmark",2,"TABANAN"
"Love",2,"TABANAN"
"Milkshake",2,"TABANAN"
"Monument",2,"TABANAN"
"Mythology",2,"TABANAN"
"Nepenthes",2,"TABANAN"
"Overhead power line",2,"TABANAN"
"Panorama",2,"TABANAN"
"Pond",2,"TABANAN"
"Procyon",2,"TABANAN"
"Procyonidae",2,"TABANAN"
"Reflecting pool",2,"TABANAN"
"Rock python",2,"TABANAN"
"Sand",2,"TABANAN"
"Selling",2,"TABANAN"
"Serpent",2,"TABANAN"
"Shrub",2,"TABANAN"
"Silhouette",2,"TABANAN"
"Smoothie",2,"TABANAN"
"Star",2,"TABANAN"
"Suburb",2,"TABANAN"
"Thigh",2,"TABANAN"
"Tints and shades",2,"TABANAN"
"Vertebrate",2,"TABANAN"
"Viverridae",2,"TABANAN"
"Walking",2,"TABANAN"
"Water bird",2,"TABANAN"
"Whiskers",2,"TABANAN"
"Wilderness",2,"TABANAN"
"Wood",2,"TABANAN"
"Working animal",2,"TABANAN"
"Yellow",2,"TABANAN"
"Ancient history",3,"TABANAN"
"Attalea speciosa",3,"TABANAN"
"Bat",3,"TABANAN"
"Black",3,"TABANAN"
"Carving",3,"TABANAN"
"Chinese architecture",3,"TABANAN"
"Dusk",3,"TABANAN"
"Family",3,"TABANAN"
"Guard rail",3,"TABANAN"
"Happy",3,"TABANAN"
"Headgear",3,"TABANAN"
"Hill",3,"TABANAN"
"Human settlement",3,"TABANAN"
"Indian cobra",3,"TABANAN"
"Islet",3,"TABANAN"
"Lake",3,"TABANAN"
"Leg",3,"TABANAN"
"Lighting",3,"TABANAN"
"Metal",3,"TABANAN"
"Motor vehicle",3,"TABANAN"
"Mountain",3,"TABANAN"
"Outcrop",3,"TABANAN"
"People in nature",3,"TABANAN"
"Petal",3,"TABANAN"
"Road surface",3,"TABANAN"
"Screenshot",3,"TABANAN"
"Shrine",3,"TABANAN"
"Snout",3,"TABANAN"
"Social group",3,"TABANAN"
"Sporting Group",3,"TABANAN"
"Standing",3,"TABANAN"
"Terrain",3,"TABANAN"
"Tradition",3,"TABANAN"
"Villa",3,"TABANAN"
"Village",3,"TABANAN"
"Walkway",3,"TABANAN"
"Wall",3,"TABANAN"
"Wat",3,"TABANAN"
"Wetland",3,"TABANAN"
"Window",3,"TABANAN"
"World",3,"TABANAN"
"Youth",3,"TABANAN"
"Atmosphere",4,"TABANAN"
"Forest",4,"TABANAN"
"Green",4,"TABANAN"
"Highland",4,"TABANAN"
"Highway",4,"TABANAN"
"Klippe",4,"TABANAN"
"Leaf",4,"TABANAN"
"Light",4,"TABANAN"
"Meadow",4,"TABANAN"
"Music venue",4,"TABANAN"
"Organism",4,"TABANAN"
"Pasture",4,"TABANAN"
"Pedestrian",4,"TABANAN"
"Photograph",4,"TABANAN"
"Play",4,"TABANAN"
"Sign",4,"TABANAN"
"Signage",4,"TABANAN"
"Sitting",4,"TABANAN"
"Space",4,"TABANAN"
"Stock photography",4,"TABANAN"
"Tourist attraction",4,"TABANAN"
"Waterway",4,"TABANAN"
"Blue",5,"TABANAN"
"City",5,"TABANAN"
"Community",5,"TABANAN"
"Crowd",5,"TABANAN"
"Drink",5,"TABANAN"
"Friendship",5,"TABANAN"
"Infrastructure",5,"TABANAN"
"Plant community",5,"TABANAN"
"Statue",5,"TABANAN"
"Stone carving",5,"TABANAN"
"Team",5,"TABANAN"
"Wildlife",5,"TABANAN"
"Zoo",5,"TABANAN"
"Archaeological site",6,"TABANAN"
"Arecales",6,"TABANAN"
"Art",6,"TABANAN"
"Asphalt",6,"TABANAN"
"Bay",6,"TABANAN"
"Calm",6,"TABANAN"
"Canidae",6,"TABANAN"
"Carnivore",6,"TABANAN"
"Estate",6,"TABANAN"
"Food",6,"TABANAN"
"Furniture",6,"TABANAN"
"Monochrome",6,"TABANAN"
"Plain",6,"TABANAN"
"Restaurant",6,"TABANAN"
"River",6,"TABANAN"
"Sculpture",6,"TABANAN"
"Soil",6,"TABANAN"
"Sunlight",6,"TABANAN"
"Swimming pool",6,"TABANAN"
"Tide",6,"TABANAN"
"Boa constrictor",7,"TABANAN"
"Geological phenomenon",7,"TABANAN"
"Hindu temple",7,"TABANAN"
"Interior design",7,"TABANAN"
"Recreation",7,"TABANAN"
"Reptile",7,"TABANAN"
"Snapshot",7,"TABANAN"
"Tropics",7,"TABANAN"
"Boa",8,"TABANAN"
"Night",8,"TABANAN"
"Scaled reptile",8,"TABANAN"
"Smile",8,"TABANAN"
"Snake",8,"TABANAN"
"Sun",8,"TABANAN"
"Burmese python",9,"TABANAN"
"Evening",9,"TABANAN"
"Place of worship",9,"TABANAN"
"Reflection",9,"TABANAN"
"Street",9,"TABANAN"
"Woody plant",9,"TABANAN"
"Crop",10,"TABANAN"
"Flower",10,"TABANAN"
"Hill station",10,"TABANAN"
"Jungle",10,"TABANAN"
"Monochrome photography",10,"TABANAN"
"Python",10,"TABANAN"
"Python family",10,"TABANAN"
"Room",10,"TABANAN"
"Ruins",10,"TABANAN"
"Terrace",10,"TABANAN"
"Black-and-white",11,"TABANAN"
"Event",11,"TABANAN"
"Mode of transport",11,"TABANAN"
"Neighbourhood",11,"TABANAN"
"Thoroughfare",11,"TABANAN"
"Farm",12,"TABANAN"
"Formation",12,"TABANAN"
"Lane",12,"TABANAN"
"Nature reserve",12,"TABANAN"
"Palm tree",12,"TABANAN"
"Residential area",12,"TABANAN"
"Sunrise",12,"TABANAN"
"Vehicle",12,"TABANAN"
"Child",13,"TABANAN"
"Town",13,"TABANAN"
"Transport",13,"TABANAN"
"Morning",14,"TABANAN"
"Summer",14,"TABANAN"
"Grassland",15,"TABANAN"
"Home",15,"TABANAN"
"Agriculture",16,"TABANAN"
"Historic site",16,"TABANAN"
"Natural environment",16,"TABANAN"
"People",16,"TABANAN"
"Cliff",17,"TABANAN"
"Grass family",17,"TABANAN"
"Resort",17,"TABANAN"
"Water resources",17,"TABANAN"
"Plantation",18,"TABANAN"
"Rural area",18,"TABANAN"
"Promontory",19,"TABANAN"
"Botany",20,"TABANAN"
"Real estate",20,"TABANAN"
"Sunset",20,"TABANAN"
"Land lot",21,"TABANAN"
"Paddy field",22,"TABANAN"
"Photography",22,"TABANAN"
"Adaptation",25,"TABANAN"
"Grass",25,"TABANAN"
"Property",26,"TABANAN"
"Wind wave",26,"TABANAN"
"Field",27,"TABANAN"
"Fun",27,"TABANAN"
"Road",27,"TABANAN"
"Travel",29,"TABANAN"
"Headland",30,"TABANAN"
"House",31,"TABANAN"
"Beach",34,"TABANAN"
"Landscape",36,"TABANAN"
"Building",38,"TABANAN"
"Vegetation",39,"TABANAN"
"Temple",41,"TABANAN"
"Architecture",43,"TABANAN"
"Horizon",43,"TABANAN"
