"ID","URL","favs","views","owner_location","title","description","county","lat","lon"
"26159187629","https://live.staticflickr.com/4465/24166581758_3124360603.jpg",0,2,"Bogota, Colombia","Garuda Park","","Badung Kabupaten","-8.809370","115.168152"
"16948939678","https://live.staticflickr.com/8704/16948939678_157274c493.jpg",0,3,"San Francisco, United States","","","Badung Kabupaten","-8.816239","115.223213"
"17134522382","https://live.staticflickr.com/8762/17134522382_ef4aa3215e.jpg",0,3,"San Francisco, United States","","","Badung Kabupaten","-8.816237","115.223205"
"17946562052","https://live.staticflickr.com/7730/17922349636_493b5b6944.jpg",0,3,"Singapore, Singapore","Tender ribs for tender folks","","Badung Kabupaten","-8.673133","115.148615"
"17948733895","https://live.staticflickr.com/5446/17922227846_3232a9de7f.jpg",0,3,"Oakland, Alameda","","","Gianyar Kabupaten","-8.480278","115.255555"
"17325935534","https://live.staticflickr.com/5323/17326960823_6db49c5685.jpg",0,3,"Oakland, Alameda","","","Badung Kabupaten","-8.691362","115.165147"
"17398950334","https://live.staticflickr.com/7755/17994987416_628d669ec3.jpg",0,3,"Singapore, Singapore","We-ness","","Badung Kabupaten","-8.675470","115.146861"
"18412309710","https://live.staticflickr.com/450/17979328103_d607f7e789.jpg",0,3,"Planchez, FRANCE","Lovina","","Buleleng Kabupaten","-8.164473","115.024572"
"18544006710","https://live.staticflickr.com/403/18731725515_b514a70406.jpg",0,3,"Planchez, FRANCE","Kuta","","Badung Kabupaten","-8.681895","115.152363"
"18111018443","https://live.staticflickr.com/524/18731702465_cf55818a5b.jpg",0,3,"Planchez, FRANCE","Kuta","","Badung Kabupaten","-8.681887","115.152366"
"19005990358","https://live.staticflickr.com/301/19005883330_c5b2c2fbdb.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_0010","","Badung Kabupaten","-8.716597","115.169227"
"19167406806","https://live.staticflickr.com/522/18571021874_68890df1d6.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_0028","","Badung Kabupaten","-8.716597","115.169227"
"19007393349","https://live.staticflickr.com/525/18571010924_3b80b566b6.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_0033","","Badung Kabupaten","-8.716597","115.169227"
"19187670082","https://live.staticflickr.com/273/19005926018_15def24d78.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_0103","","Badung Kabupaten","-8.784123","115.140023"
"19217523859","https://live.staticflickr.com/408/19377636266_bcc10a07b6.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_0009","","Badung Kabupaten","-8.782999","115.158240"
"19377624626","https://live.staticflickr.com/3767/19397481572_54a5737369.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_0949","","Badung Kabupaten","-8.782999","115.158240"
"18783072123","https://live.staticflickr.com/3918/19216106018_5487c16026.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_0951","","Badung Kabupaten","-8.782999","115.158240"
"19216106018","https://live.staticflickr.com/401/19403702275_ed8d4df2cf.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_0961","","Badung Kabupaten","-8.782999","115.158240"
"19217502619","https://live.staticflickr.com/467/19403699975_f9298e73f7.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_0964","","Badung Kabupaten","-8.782999","115.158240"
"19407823861","https://live.staticflickr.com/3827/18781154194_9ef289f0fa.jpg",0,3,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>","DSC_1024","","Badung Kabupaten","-8.782999","115.158240"
"19244833343","https://live.staticflickr.com/322/19243064234_c772cf3ab2.jpg",0,3,"Wellington, New Zealand","Mountainbiking","","Bangli Kabupaten","-8.438771","115.428970"
"19243064234","https://live.staticflickr.com/487/19677702350_c4b95a5a4c.jpg",0,3,"Wellington, New Zealand","Mountainbiking","","Karang Asem","-8.432966","115.425871"
"19690576790","https://live.staticflickr.com/3812/19442518008_10cb2dd85a.jpg",0,3,"Wellington, New Zealand","2015-07-12 15.40.30","","Buleleng Kabupaten","-8.163138","114.437003"
"23876715546","https://live.staticflickr.com/778/23803885541_8714de04a7.jpg",0,3,"Guayaquil","IMAG6412","","Klungkung Kabupaten","-8.672825","115.447319"
"23519311109","https://live.staticflickr.com/5794/23978053785_13c0e95003.jpg",0,3,"Bogota, Colombia","BababaBintang<U+0001F64A>","","Gianyar Kabupaten","-8.505016","115.254366"
"23260206203","https://live.staticflickr.com/5638/23977104075_a597d6e46a.jpg",0,3,"Bogota, Colombia","Great spot!","","Gianyar Kabupaten","-8.505016","115.254366"
"24445317462","https://live.staticflickr.com/1578/24640769646_45fdbb1fe0.jpg",0,3,"Singapore, Singapore","upload","","Badung Kabupaten","-8.671571","115.162796"
