"TABANAN","Freq"
"Mode of transport",11
"Neighbourhood",11
"Thoroughfare",11
"Farm",12
"Formation",12
"Lane",12
"Nature reserve",12
"Palm tree",12
"Residential area",12
"Sunrise",12
"Vehicle",12
"Child",13
"Town",13
"Transport",13
"Morning",14
"Summer",14
"Grassland",15
"Home",15
"Agriculture",16
"Historic site",16
"Natural environment",16
"People",16
"Cliff",17
"Grass family",17
"Resort",17
"Water resources",17
"Plantation",18
"Rural area",18
"Promontory",19
"Botany",20
"Real estate",20
"Sunset",20
"Land lot",21
"Paddy field",22
"Photography",22
"Adaptation",25
"Grass",25
"Property",26
"Wind wave",26
"Field",27
"Fun",27
"Road",27
"Travel",29
"Headland",30
"House",31
"Beach",34
"Landscape",36
"Building",38
"Vegetation",39
"Temple",41
"Architecture",43
"Horizon",43
"Leisure",43
"Wave",48
"Vacation",51
"Plant",53
"Rock",60
"Cloud",63
"Coastal and oceanic landforms",64
"Tourism",66
"Body of water",74
"Nature",77
"Natural landscape",94
"Shore",99
"Tree",102
"Water",103
"Ocean",137
"Coast",147
"Sea",162
"Sky",166
