"BADUNG","Freq"
"Light fixture",11
"Outdoor furniture",11
"Panorama",11
"Pedestrian",11
"Pub",11
"Rainforest",11
"Retail",11
"Salad",11
"Shopping mall",11
"Side dish",11
"Small to medium-sized cats",11
"Space",11
"Sport venue",11
"Still life photography",11
"Sun tanning",11
"Sunlounger",11
"Supper",11
"Watercraft",11
"Bikini",12
"Cave",12
"Cottage",12
"Deck",12
"Disco",12
"Fireworks",12
"Human leg",12
"Landscape lighting",12
"Macaque",12
"Motorcycle",12
"National park",12
"New Years Day",12
"Performance art",12
"Plant community",12
"Shelf",12
"Swimwear",12
"Terrestrial animal",12
"Thigh",12
"Bed",13
"Bedroom",13
"Condominium",13
"Courtyard",13
"Cup",13
"Fawn",13
"Folk dance",13
"Graffiti",13
"Grassland",13
"Hardwood",13
"Interaction",13
"Leisure centre",13
"Primate",13
"Ritual",13
"Road surface",13
"Skimboarding",13
"Snout",13
"Terrestrial plant",13
"Village",13
"Arch",14
"Daylighting",14
"Door",14
"Glass bottle",14
"Human settlement",14
"Lip",14
"Living room",14
"Love",14
"Modern art",14
"Nightclub",14
"Reflecting pool",14
"Shoe",14
"Watercourse",14
"Aerospace engineering",15
"Black hair",15
"Coffeehouse",15
"Cumulus",15
"Dog",15
"Eco hotel",15
"Fast food",15
"Landscaping",15
"Lobby",15
"Mammal",15
"Market",15
"Mouth",15
"Resort town",15
"Shrine",15
"Sign",15
"Vertebrate",15
"Airliner",16
"Airport terminal",16
"Bird",16
"Chinese architecture",16
"Electronics",16
"Eyebrow",16
"Finger",16
"Fish",16
"Magenta",16
"Marketplace",16
"Pattern",16
"Suite",16
"Water feature",16
"Yard",16
"Aviation",17
"Bar",17
"Cape",17
"Dance",17
"Facial expression",17
"Felidae",17
"Line",17
"Plumbing fixture",17
"Pond",17
"Purple",17
"Spring",17
"Street art",17
"Water transportation",17
"World",17
"Branch",18
"Café",18
"Chin",18
"Clothing",18
"Hotel",18
"Metropolitan area",18
"Music",18
"Shoulder",18
"Stock photography",18
"Wilderness",18
"Archaeological site",19
"Beer",19
"Cat",19
"Cheek",19
"Fashion accessory",19
"Fictional character",19
"Footwear",19
"Geology",19
"Headgear",19
"Human",19
"Iron",19
"Mural",19
"People in nature",19
"Product",19
"Seafood",19
"T-shirt",19
"Turquoise",19
"Ancient history",20
"Audience",20
"Barechested",20
"Ceremony",20
"Community",20
"Grass family",20
"Material property",20
"Orange",20
"Surfboard",20
"Tide",20
"Walkway",20
"Wat",20
"Aircraft",21
"Airport",21
"Alcoholic beverage",21
"Bathroom",21
"Bay",21
"Boat",21
"Canidae",21
"Party",21
"Petal",21
"Pink",21
"Standing",21
"Sunglasses",21
"Alcohol",22
"Azure",22
"Boardsport",22
"Botanical garden",22
"Dessert",22
"Play",22
"Surfing Equipment",22
"Tile",22
"Urban area",22
"Air travel",23
"Airline",23
"Airplane",23
"Carnivore",23
"Hand",23
"Land vehicle",23
"Textile",23
"Umbrella",23
"Window",23
"Flowering plant",24
"Fried food",24
"Hill station",24
"Junk food",24
"Lane",24
"Liqueur",24
"Performing arts",24
"Distilled beverage",25
"Dress",25
"Electronic device",25
"Hair",25
"Painting",25
"Public space",25
"Red sky at morning",25
"Team",25
"Thoroughfare",25
"Asphalt",26
"Bight",26
"Bottle",26
"Facade",26
"Organism",26
"Signage",26
"Skin",26
"Tourist attraction",26
"Tradition",26
"Vegetarian food",26
"Youth",26
"À la carte food",27
"Advertising",27
"Design",27
"Fashion",27
"Forehead",27
"Illustration",27
"Music venue",27
"Red",27
"Soil",27
"Surface water sports",27
"Surfing",27
"Wildlife",27
"Caribbean",28
"Eating",28
"Jungle",28
"Monochrome photography",28
"River",28
"Shade",28
"Backyard",29
"Flooring",29
"Glasses",29
"Infrastructure",29
"Land lot",29
"Memorial",29
"Midnight",29
"Muscle",29
"Rural area",29
"Dinner",30
"Geological phenomenon",30
"Stage",30
"Visual arts",30
"Carving",31
"Festival",31
"Mountain",31
"Ruins",31
"Waterway",31
"Eyewear",32
"Games",32
"Monochrome",32
"Yellow",32
"Motor vehicle",33
"Leaf",35
"Nature reserve",35
"Ceiling",36
"Estate",37
"Garden",37
"Glass",37
"Landmark",37
"White",37
"Metal",38
"Neighbourhood",38
"Green",39
"Nose",39
"Black",40
"Head",40
"Residential area",40
"Technology",40
"Text",40
"Snapshot",41
"Black-and-white",42
"Sitting",42
"Sunlight",42
"Town",42
"Wood",42
"Face",43
"Hindu temple",43
"Meat",43
"Beauty",45
"Daytime",45
"Dusk",45
"Happy",45
"Monument",45
"Roof",46
"Terrain",46
"Recipe",47
"Comfort food",50
"Darkness",50
"People on beach",50
"Woody plant",50
"Atmospheric phenomenon",51
"Formation",54
"Friendship",54
"Street",54
"City",55
"Cool",55
"Reflection",55
"Child",56
"Floor",56
"Stone carving",56
"Atmosphere",57
"Leg",57
"Car",58
"Performance",60
"Water resources",60
"Calm",61
"Mode of transport",61
"Photograph",61
"Statue",61
"Place of worship",62
"Adaptation",64
"Blue",64
"Font",64
"Selfie",64
"Afterglow",68
"Transport",69
"Arecales",70
"Crowd",70
"Natural environment",70
"Breakfast",72
"Wind wave",72
"Sculpture",73
"Drink",75
"Tropics",76
"Flower",79
"Sun",82
"Klippe",83
"People",84
"Road",84
"Brunch",85
"Lunch",85
"Smile",85
"Restaurant",87
"Recreation",92
"Table",94
"Swimming pool",95
"Travel",95
"Wall",95
"Headland",100
"Home",100
"Lighting",100
"Vegetation",100
"Light",101
"Produce",102
"Grass",105
"Historic site",107
"Landscape",107
"Promontory",109
"Palm tree",113
"Furniture",116
"Morning",116
"Botany",120
"Sand",129
"Meal",131
"Cliff",133
"Art",141
"Rock",141
"Interior design",146
"Real estate",154
"Resort",157
"Night",170
"Vehicle",171
"Evening",173
"Ingredient",178
"Sunrise",181
"Event",190
"Summer",192
"Nature",194
"Wave",198
"Temple",210
"Natural landscape",213
"Room",217
"Dish",219
"Cuisine",232
"Sunset",240
"Photography",244
"Coastal and oceanic landforms",246
"Food",257
"Property",261
"Body of water",265
"House",265
"Fun",315
"Leisure",316
"Plant",340
"Tourism",365
"Cloud",376
"Shore",389
"Architecture",409
"Horizon",416
"Water",435
"Building",452
"Beach",515
"Coast",564
"Tree",576
"Vacation",607
"Ocean",664
"Sea",898
"Sky",1045
